[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT * FROM `mis_system_public_listinc` WHERE ( `modelname` = 'MisAutoLxn' ) AND ( `sortsorder` > 0 ) ORDER BY sortsorder  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:208，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT * FROM `mis_system_public_listinc` WHERE ( `modelname` = 'MisAutoLxn' ) AND ( `sortsorder` > 0 ) ORDER BY sortsorder  [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:208，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: dsp CommonAction.class.php 第 1317 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: remindMap CommonAction.class.php 第 1320 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_auto_oxqxg` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:208，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_auto_oxqxg` [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:208，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: search_flag CommonAction.class.php 第 1417 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_auto_oxqxg` WHERE ( `allnode` = 'MisAutoLxn' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_auto_oxqxg` WHERE ( `allnode` = 'MisAutoLxn' ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined variable: htmls CommonAction.class.php 第 1426 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: dwzpageNum CommonAction.class.php 第 1447 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: dwzloadhtml CommonAction.class.php 第 1451 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: export_bysearch CommonAction.class.php 第 1454 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
